Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1961","1961","ha","809","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1961","1961","hg/ha","5525","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1961","1961","tonnes","447","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1962","1962","ha","809","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1962","1962","hg/ha","11001","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1962","1962","tonnes","890","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1963","1963","ha","2023","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1963","1963","hg/ha","5151","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1963","1963","tonnes","1042","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1964","1964","ha","1214","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1964","1964","hg/ha","5939","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1964","1964","tonnes","721","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1965","1965","ha","1214","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1965","1965","hg/ha","2026","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1965","1965","tonnes","246","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1966","1966","ha","2023","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1966","1966","hg/ha","4686","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1966","1966","tonnes","948","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1967","1967","ha","2428","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1967","1967","hg/ha","6046","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1967","1967","tonnes","1468","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1968","1968","ha","4053","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1968","1968","hg/ha","2087","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1968","1968","tonnes","846","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1969","1969","ha","5266","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1969","1969","hg/ha","4806","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1969","1969","tonnes","2531","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1970","1970","ha","4644","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1970","1970","hg/ha","2414","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1970","1970","tonnes","1121","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1971","1971","ha","8412","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1971","1971","hg/ha","7732","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1971","1971","tonnes","6504","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1972","1972","ha","9516","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1972","1972","hg/ha","1891","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1972","1972","tonnes","1799","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1973","1973","ha","4523","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1973","1973","hg/ha","5614","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1973","1973","tonnes","2539","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1974","1974","ha","3230","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1974","1974","hg/ha","8759","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1974","1974","tonnes","2829","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1975","1975","ha","7592","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1975","1975","hg/ha","7987","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1975","1975","tonnes","6064","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1976","1976","ha","8224","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1976","1976","hg/ha","7219","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1976","1976","tonnes","5937","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1977","1977","ha","10360","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1977","1977","hg/ha","7937","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1977","1977","tonnes","8223","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1978","1978","ha","4784","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1978","1978","hg/ha","10389","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1978","1978","tonnes","4970","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1979","1979","ha","4297","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1979","1979","hg/ha","3572","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1979","1979","tonnes","1535","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1980","1980","ha","3314","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1980","1980","hg/ha","6494","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1980","1980","tonnes","2152","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1981","1981","ha","5690","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1981","1981","hg/ha","10097","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1981","1981","tonnes","5745","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1982","1982","ha","21748","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1982","1982","hg/ha","2271","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1982","1982","tonnes","4940","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1983","1983","ha","23017","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1983","1983","hg/ha","6558","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1983","1983","tonnes","15095","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1984","1984","ha","30390","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1984","1984","hg/ha","6223","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1984","1984","tonnes","18912","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1985","1985","ha","41006","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1985","1985","hg/ha","4613","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1985","1985","tonnes","18918","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1986","1986","ha","57932","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1986","1986","hg/ha","4124","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1986","1986","tonnes","23889","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1987","1987","ha","36235","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1987","1987","hg/ha","5901","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1987","1987","tonnes","21382","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1988","1988","ha","38302","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1988","1988","hg/ha","5407","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1988","1988","tonnes","20708","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1989","1989","ha","24572","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1989","1989","hg/ha","5846","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1989","1989","tonnes","14365","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1990","1990","ha","29788","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1990","1990","hg/ha","5611","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1990","1990","tonnes","16714","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1991","1991","ha","32174","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1991","1991","hg/ha","6942","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1991","1991","tonnes","22336","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1992","1992","ha","38000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1992","1992","hg/ha","5000","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1992","1992","tonnes","19000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1993","1993","ha","27800","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1993","1993","hg/ha","11475","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1993","1993","tonnes","31900","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1994","1994","ha","38100","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1994","1994","hg/ha","5381","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1994","1994","tonnes","20500","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1995","1995","ha","41100","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1995","1995","hg/ha","5645","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1995","1995","tonnes","23200","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1996","1996","ha","52700","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1996","1996","hg/ha","9450","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1996","1996","tonnes","49800","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1997","1997","ha","44000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1997","1997","hg/ha","8409","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1997","1997","tonnes","37000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1998","1998","ha","54000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1998","1998","hg/ha","9815","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1998","1998","tonnes","53000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","1999","1999","ha","52000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","1999","1999","hg/ha","9038","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","1999","1999","tonnes","47000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2000","2000","ha","52000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2000","2000","hg/ha","11154","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2000","2000","tonnes","58000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2001","2001","ha","47200","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2001","2001","hg/ha","10593","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2001","2001","tonnes","50000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2002","2002","ha","49100","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2002","2002","hg/ha","7923","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2002","2002","tonnes","38900","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2003","2003","ha","26678","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2003","2003","hg/ha","19492","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2003","2003","tonnes","52000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2004","2004","ha","33597","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2004","2004","hg/ha","17263","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2004","2004","tonnes","58000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2005","2005","ha","40380","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2005","2005","hg/ha","13125","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2005","2005","tonnes","53000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2006","2006","ha","28000","F","FAO estimate",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2006","2006","hg/ha","12857","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2006","2006","tonnes","36000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2007","2007","ha","44291","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2007","2007","hg/ha","6449","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2007","2007","tonnes","28565","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2008","2008","ha","45000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2008","2008","hg/ha","10111","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2008","2008","tonnes","45500","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2009","2009","ha","54585","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2009","2009","hg/ha","9262","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2009","2009","tonnes","50557","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2010","2010","ha","44900","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2010","2010","hg/ha","9688","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2010","2010","tonnes","43500","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2011","2011","ha","86400","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2011","2011","hg/ha","7552","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2011","2011","tonnes","65247","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2012","2012","ha","55000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2012","2012","hg/ha","8098","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2012","2012","tonnes","44541","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2013","2013","ha","38000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2013","2013","hg/ha","9211","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2013","2013","tonnes","35000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2014","2014","ha","35000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2014","2014","hg/ha","9143","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2014","2014","tonnes","32000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2015","2015","ha","35000","","Official data",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2015","2015","hg/ha","9143","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2015","2015","tonnes","32000","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2016","2016","ha","39466","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2016","2016","hg/ha","9091","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2016","2016","tonnes","35878","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2017","2017","ha","38917","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2017","2017","hg/ha","9095","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2017","2017","tonnes","35396","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","176","Beans, dry","2018","2018","ha","37365","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5419","Yield","176","Beans, dry","2018","2018","hg/ha","8717","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","176","Beans, dry","2018","2018","tonnes","32569","Im","FAO data based on imputation methodology",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1961","1961","ha","8498","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1961","1961","hg/ha","37468","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1961","1961","tonnes","31840","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1962","1962","ha","9467","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1962","1962","hg/ha","36318","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1962","1962","tonnes","34382","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1963","1963","ha","11139","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1963","1963","hg/ha","31768","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1963","1963","tonnes","35386","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1964","1964","ha","6755","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1964","1964","hg/ha","45578","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1964","1964","tonnes","30788","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1965","1965","ha","7009","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1965","1965","hg/ha","44118","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1965","1965","tonnes","30922","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1966","1966","ha","7314","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1966","1966","hg/ha","51280","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1966","1966","tonnes","37506","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1967","1967","ha","7540","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1967","1967","hg/ha","42306","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1967","1967","tonnes","31899","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1968","1968","ha","7990","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1968","1968","hg/ha","47824","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1968","1968","tonnes","38211","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1969","1969","ha","8104","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1969","1969","hg/ha","49202","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1969","1969","tonnes","39873","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1970","1970","ha","7492","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1970","1970","hg/ha","45226","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1970","1970","tonnes","33883","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1971","1971","ha","7972","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1971","1971","hg/ha","47801","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1971","1971","tonnes","38107","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1972","1972","ha","7512","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1972","1972","hg/ha","47302","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1972","1972","tonnes","35533","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1973","1973","ha","8311","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1973","1973","hg/ha","46808","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1973","1973","tonnes","38902","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1974","1974","ha","8601","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1974","1974","hg/ha","46276","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1974","1974","tonnes","39802","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1975","1975","ha","7623","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1975","1975","hg/ha","52672","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1975","1975","tonnes","40152","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1976","1976","ha","7338","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1976","1976","hg/ha","49588","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1976","1976","tonnes","36388","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1977","1977","ha","6953","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1977","1977","hg/ha","47999","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1977","1977","tonnes","33374","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1978","1978","ha","8071","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1978","1978","hg/ha","55792","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1978","1978","tonnes","45030","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1979","1979","ha","7059","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1979","1979","hg/ha","48600","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1979","1979","tonnes","34307","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1980","1980","ha","6323","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1980","1980","hg/ha","53758","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1980","1980","tonnes","33991","","Official data",""
"QC","Crops","10","Australia","5312","Area harvested","414","Beans, green","1981","1981","ha","7093","","Official data",""
"QC","Crops","10","Australia","5419","Yield","414","Beans, green","1981","1981","hg/ha","48748","Fc","Calculated data",""
"QC","Crops","10","Australia","5510","Production","414","Beans, green","1981","1981","tonnes","34577","","Official data",""
